ma_tin,tieu_de,loai_hinh,gia,dien_tich,so_phong_ngu,so_tang,huong_nha,tinh_thanh,quan_huyen,phuong_xa,tinh_trang_phap_ly,ngay_dang,ten_moi_gioi_san,nguon,khu_vuc,dia_diem,mo_ta,nguoi_dang,thoi_gian_dang,so_phong,url
178732499,- NGUYỄN THỊ TẦN P2 Q8 / BỀ NGANG KHỦNG 5M / TRỆT 2 LẦU ST,"Nhà ngõ, hẻm","6,58 tỷ",48,4,4,,TP Hồ Chí Minh,Quận 8,Phường Chánh Hưng,1,15 phút trước,Đạt BĐS Q8,nhatot,Quận 8,"76 Đặng Trúc Liêng. P4 Q8, Phường 4, Quận 8, Tp Hồ Chí Minh","Dự án: 
Thông tin chi tiết: - 💵 💵 : 6 Tỷ 580 Triệu ( TL )
- Nhà bán Nguyễn Thị Tần P2 Q8 
- DT : 5m x 10m
- Kết cấu : Trệt , 2 Lầu , ST Đúc BTCT , 4 phòng ngủ , 3 Tollet , Ban công rộng rãi… 
- Hẻm thông thoáng trước nhà rộng gần 3m... Xe ba gác chạy tới nhà... Cách MT tầm 100m thông thoáng nhiều hướng...
- Sổ hồng riêng , khu dân cư hiện hữu..
- Liên Hệ : *** - Đạt",Đạt BĐS Q8,15 phút trước,4,https://www.nhatot.com/178732499
178732450,- HƯNG PHÚ P8 Q8 / CÁCH MT 30M / KDC HIỆN HỮU / NHÀ ĐẸP Ở LIỀN 🔥,"Nhà ngõ, hẻm","4,78 tỷ",40,3,2,,TP Hồ Chí Minh,Quận 8,Phường Chánh Hưng,1,17 phút trước,Đạt BĐS Q8,nhatot,Quận 8,"76 Đặng Trúc Liêng. P4 Q8, Phường 4, Quận 8, Tp Hồ Chí Minh","Dự án: 
Thông tin chi tiết: - 💵 💵 : 4 Tỷ 780 Triệu ( TL )
- Nhà bán Hưng Phú P8 Q8 
- DT : 7m x 6m
- Kết cấu : Trệt , Lầu Đúc… 3 phòng ngủ , 2 Tollet , Ban công rộng rãi… 
- Hẻm thông thoáng trước nhà có sân rộng 5m.. Xe ba gác chạy tới nhà... Cách MT tầm 30m thông thoáng nhiều hướng...
- Sổ hồng riêng , khu dân cư hiện hữu..
- LH : *** - Đạt",Đạt BĐS Q8,17 phút trước,3,https://www.nhatot.com/178732450
178731877,CĂN GỐC VIEW SÔNG DIAMOND LOTUS Q8 - 3PN,Chung cư,7 tỷ,83.9,3,,,TP Hồ Chí Minh,Quận 8,Phường Chánh Hưng,6,41 phút trước,Ngô Quang Thuận,nhatot,Quận 8,,"📍 DIAMOND LOTUS Q8 - 7 Tỷ TL
Căn Gốc view Sông
- Diện Tích: 83,9m2 
- Công năng: 3PN 2WC (1 phòng Master), Chủ để lại bộ Sofa , bàn ăn
- Phí Quản lý: 1,2 triệu/1 Tháng, Xe máy: 120k/ tháng,  Xe Hơi : 1,5 Triệu/  Tháng
Liên hệ Quang Thuận : ***",Ngô Quang Thuận,41 phút trước,3,https://www.nhatot.com/178731877
177638536,"🛑 NHÀ 4 TẦNG – SÁT MẶT TIỀN DƯƠNG BÁ TRẠC, (3.4x16.3m)","Nhà ngõ, hẻm","7,4 tỷ",59.5999,4,4,3,TP Hồ Chí Minh,Quận 8,Phường Chánh Hưng,1,11 phút trước,,nhatot,Quận 8,,"Dự án: 
Thông tin chi tiết: NHÀ 4 TẦNG – SÁT MẶT TIỀN DƯƠNG BÁ TRẠC, P.1, Q.8
💰 Giá chỉ: 7,4 TỶ (Thương lượng)

✨ Thông tin nổi bật:
📐 Diện tích: 3,4m × 16,3m . Dt đất:  59,6m² 
🏠 Kết cấu: Trệt , Lửng , 2 Lầu. 4 Phòng ngủ, 4 WC

📍 Vị trí cực đẹp:
✅ Chỉ cách mặt tiền Dương Bá Trạc khoảng 10m.
✅ Hẻm trước nhà rộng 5m, thông thoáng.
✅ Gần cầu Nguyễn Văn Cừ, di chuyển nhanh sang Quận 1, Quận 5, Quận 7.
✅ Khu vực kinh doanh sầm uất ngày đêm, thích hợp vừa ở vừa kinh doanh hoặc cho thuê.

🧭 Hướng: Nam
📕 Sổ hồng riêng – Hoàn công đầy đủ

💎 Giá tốt chỉ 7,4 tỷ – Cơ hội sở hữu nhà vị trí đẹp, giá hấp dẫn ngay trung tâm Quận 8.",Thuỳ,11 phút trước,4,https://www.nhatot.com/177638536
176406801,"✅ BÁN NHÀ KHU TÊN LỬA, MT ĐƯỜNG SỐ 26, DT 6 X 20M, 3.5 TẤM, 15 TỶ.","Nhà mặt phố, mặt tiền",15 tỷ,120,5,,,TP Hồ Chí Minh,Quận Bình Tân,Phường An Lạc,,12 phút trước,TÍN HƯNG,nhatot,Quận Bình Tân,"Đường số 26, Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam","+ đường rộng 16m thông thoáng, vị trí trung tâm khu Tên Lửa, cách công viên 30m không gian thoáng mát, tập thể dục hằng ngày ...
+ cách Aeon Mall 3 phút di chuyển, song song tuyến đường Tên Lửa
+ khu Tên Lửa đầy đủ tiện ích hiện hữu xung quanh: Aeon Mall, CoopMart, Phố ăn uống, BV Quốc tế CIH, Gia An 115, Highland, Phúc Long, ngân hàng, chợ, trường học... bán kính 1km.

* Thông tin 
- Vị trí: MT đường Số 26, P. Bình Trị Đông B, Q. Bình Tân.
- Diện tích: 6 x 20m. 
- Kết cấu: 3.5 tấm, pháp lý hoàn công đầy đủ
$ Giá: 15 tỷ (thương lượng)

BĐS rao bán khu Tên Lửa, Anh Chị tham khảo thêm
* MT đường Số 4C, DT 4 x 21m, đất, 9.2 tỷ.
* MT đường Số 21B, DT 4 x 22.5m, đất, 9.3 tỷ.
* MT đường Số 25A, DT 4 x 21m, 3.5 tấm, 10.8 tỷ.
* MT đường Số 3, DT 5 x 20m, 3.5 tấm, 13.8 tỷ.
* MT đường Số 6D, DT 5 x 18m, 3.5 tấm, 12.3 tỷ.
* MT đường Số 1B, DT 6 x 16m, 3 tấm, 13.5 tỷ.
* MT đường Số 24A, DT 4.5 x 20m, 3.5 tấm, 13.3 tỷ.
* MT đường Số 19E, DT 4.5 x 15m, 3.5 tấm, 9.9 tỷ.
* MT đường Số 1B, DT 5 x 24m, đất, 12 tỷ.
* MT đường Số 13, DT 5 x 20m, đất, 14.2 tỷ.
...
LH: *** (Huy - Tín Hưng).
Giới thiệu, Phân tích, So sánh.
Anh Chị chọn BĐS phù hợp nhu cầu, giá hợp lý so với thị trường.
",Tín Hưng,12 phút trước,5,https://www.nhatot.com/176406801
178361660,"🟢 Nhà bán 3 Tầng+ ST-3 pn,3 Wc-3 x 8,5-hẻm ba gác đường Chánh Hưng P9Q","Nhà ngõ, hẻm","4,18 tỷ",26,3,3,,TP Hồ Chí Minh,Quận 8,Phường Chánh Hưng,1,3 giờ trước,Mr Đài Cty Điền Phát House,nhatot,Quận 8,"Đường Cao Lỗ, Phường 4, Quận 8, Thành phố Hồ Chí Minh, Việt Nam","Dự án: 
Thông tin chi tiết: Nhà bán 3 Tầng+ST-Hẻm xe ba gác đường Chánh Hưng P9 Q8 cách mặt tiền 50 mét 

. Nhà còn mới đẹp , vào ở liền . 

✅ Diện tích : 3 x 8,5 ( nở hậu ) -26m2

✅ Hiện Trạng : 1 trệt + 2 lầu đúc ( sân thượng + ban công ) . 

Công năng sử dụng : 3 phòng ngủ + 3 nhà vệ sinh 

- Nhà gần cầu Nguyễn Tri Phương, TTTM Parc Mall , chợ gần Trung tâm Tp, hẻm an ninh

 ✅Sổ hồng riêng ,hoàn công , quy hoạch , không lộ giới 

💰Giá bán 4 tỷ 186 bớt Lộc.
- Lh:***_ Thanh Đài",Mr Đài Nhà Điền Phát,3 giờ trước,3,https://www.nhatot.com/178361660
178694926,Nhà mới 2 tầng Dương Bá Trạc P2-Q8,"Nhà ngõ, hẻm","4,18 tỷ",32,2,2,,TP Hồ Chí Minh,Quận 8,Phường Chánh Hưng,1,3 giờ trước,Trần Hoàng Minh,nhatot,Quận 8,"162, Trần Hưng Đạo, Quận 5, Hồ Chí Minh","- Hẻm trước nhà 2m thông qua chợ Rạch Ông, cách mặt tiền 30m, cách 100m đến cầu Nguyễn Văn Cừ
- Diện tích: 3.5m x 9.5m (không lộ giới)
- Kết cấu: 1 trệt, 1 lầu đúc, 2 phòng ngủ, 2 vệ sinh, ban công
- Sổ hồng riêng, hoàn công đủ, khu hiện hữu
- Giá: 4 tỷ 180 (còn TL)
Liên hệ Hoàng Minh xem nhà và sổ
Kênh Tiktok: HOÀNG MINH – REVIEW BDS
Nhận ký gửi mua bán BDS Quận 8",HOÀNG MINH REVIEW BDS,3 giờ trước,2,https://www.nhatot.com/178694926
178698710,"Nhà MT ngang 8m sát Bình Phú, chợ Hồ Trọng Quý. nhà C4 tiện xây mới","Nhà mặt phố, mặt tiền",17 tỷ,130,4,,,TP Hồ Chí Minh,Quận 6,Phường Bình Phú,,3 giờ trước,Nhà đẹp HDK,nhatot,Quận 6,"Phường 11, Quận 6, Thành phố Hồ Chí Minh","💢 Nhà MT CX Phú Lâm D, sát MT Bình Phú, chợ Hồ Trọng Quý
💎 DT 8x17m CN 130m2
✨ Nhà cấp 4 tiện xây mới, khu vực có thể xây 5 tầng
👉 Khu an ninh dân trí, đầy đủ tiện ích
💰 Giá chỉ hơn 17,5 tỷ còn thương lượng cho khách thiên chí
☎ Liên hệ Mr Quyen để xem xem nhà và làm viêc trực tiếp chủ",Mr Quyên,3 giờ trước,4,https://www.nhatot.com/178698710
178705460,Nhà mặt tiền kinh doanh Văn Thân sát cầu Bình Tiên chỉ hơn 8 tỷ,"Nhà mặt phố, mặt tiền","8,3 tỷ",52.5,2,,,TP Hồ Chí Minh,Quận 6,Phường Bình Tiên,,4 giờ trước,Nhà đẹp HDK,nhatot,Quận 6,"Phường 11, Quận 6, Thành phố Hồ Chí Minh","💢 Nhà mặt tiền kinh doanh Văn Thân sát cầu Bình Tiên chỉ hơn 8 tỷ
💎 DT: 4*14m CN 52m2
🏪 Hiện trạng 1 trệt 1 lầu tiện xây mới, khu vực cho phép xây cao tầng
✨ Đường rộng đep đã đi điện âm, khu kinh doanh mua bán nhộn nhip
💰 giá 8,3 tỷ TL
☎ Liên hệ ngay Mr Quyen để xem nhà và làm việc trực tiếp chủ",Mr Quyên,4 giờ trước,2,https://www.nhatot.com/178705460
173484035,Bán nhà Mặt tiền DT:4x20 nhà 3 tầng gần chợ tân Mỹ cạnh phú mỹ hưng q7,"Nhà mặt phố, mặt tiền","13,2 tỷ",80,4,3,,TP Hồ Chí Minh,Quận 7,Phường Tân Mỹ,1,4 giờ trước,,nhatot,Quận 7,,"Bán nhà mặt tiền đường số gần chợ tân mỹ cạnh phú mỹ hưng quận 7 
DT:4x20 nhà 3 Tầng 
Vị trí kinh doanh sầm uất. 
Đường 14m",nguyên Nhựt,4 giờ trước,4,https://www.nhatot.com/173484035
178720726,"góc 2 mặt tiền đẹp ngang 7m 4 tầng đường Chợ Lớn,, sẵn HĐT 25tr","Nhà mặt phố, mặt tiền","17,8 tỷ",114,4,,,TP Hồ Chí Minh,Quận 6,Phường Bình Phú,,4 giờ trước,Nhà đẹp HDK,nhatot,Quận 6,"Phường 11, Quận 6, Thành phố Hồ Chí Minh","💢 Nhà đẹp góc 2 mặt tiền ngang khủng 7m ngay đường Chợ Lớn, ngay cc An Phú. Chủ thiện chí bán, giá bất ngờ cho khách nhanh gon
💎 7x18m CN 114m2
🏪 Trệt 3 lầu đang cho thuê 25 trệu/th
✨ Góc 2 mặt tiền độ nhân diện cao, kinh doanh mua bán đa ngành nghề
💰 Giá bán chỉ hơn 17 ty còn thương luọng cho khách thiện chí
☎ Liên hệ Me Quyen để xem nhà và làm việc trực tiếp chủ",Mr Quyên,4 giờ trước,4,https://www.nhatot.com/178720726
178650452,Bán 145m đất thổ tặng nhà C4- Mặt tiền Nguyễn Thị Điệp Đông Thạnh,"Nhà mặt phố, mặt tiền","4,85 tỷ",145,1,,,TP Hồ Chí Minh,Huyện Hóc Môn,Xã Đông Thạnh,1,4 giờ trước,Lê Minh Quân,nhatot,Huyện Hóc Môn,"92/1, Phường Hiệp Thành (P. Tân Thới Hiệp mới), Quận 12, Tp Hồ Chí Minh","Dự án: 
Thông tin chi tiết: NHÀ XƯỞNG MẶT TIỀN NGUYỄN THỊ ĐIỆP ĐÔNG THẠNH- 145M2- CHỈ 4,85TỶ TL.

+ Diện tích: 145m2 ngang 5m dài 29m
+ Kết cấu: nhà xưởng.
+ Hướng: Tây nam.
+ Vị trí: mặt tiền Nguyễn Thị Điệp, xung quanh đầy đủ tiện ích.
+ Pháp Lý: Sổ hồng riêng công chứng ngay.",Lê Minh Quân,4 giờ trước,1,https://www.nhatot.com/178650452
178266389,"🛑NHÀ GÓC 4 TẦNG (6.6x 17m), MẶT TIỀN NB KHU CHỢ PHẠM THẾ HIỂN P4 Q8","Nhà mặt phố, mặt tiền","14,3 tỷ",111,6,,,TP Hồ Chí Minh,Quận 8,Phường Chánh Hưng,,4 giờ trước,,nhatot,Quận 8,,"EDự án: 
Thông tin chi tiết: 💥💥BÁN NHÀ GÓC 2 MẶT TIỀN – VỊ TRÍ KINH DOANH ĐẮC ĐỊA P4 Q8

Giá: 14 tỷ 300 

📍 Vị trí: Sau lưng chợ Phạm Thế Hiển, P4, Quận 8

📐 Diện tích: 6.6m × 17m (công nhận 111m² đất) 

🏗 Kết cấu: trệt , 4 lầu, có thang máy

💰 Thu nhập sẵn: Đang cho thuê 55 triệu/tháng

✨ Ưu điểm nổi bật:

- Nhà góc 2 mặt tiền cực thoáng, phù hợp kinh doanh mọi ngành nghề
- Chỉ cách chợ & UBND ~50m, khu vực sầm uất, tiện ích đầy đủ
- Thích hợp vừa ở vừa cho thuê hoặc đầu tư giữ tiền
- Sổ hồng riêng, hoàn công đầy đủ",Thuỳ,4 giờ trước,6,https://www.nhatot.com/178266389
177692366,"🛑Nhà mới đẹp, 3 tầng (4.3x10m), sổ đẹp, hẻm 3.5m Âu Dương Lân","Nhà ngõ, hẻm","6,2 tỷ",43.2,3,3,7,TP Hồ Chí Minh,Quận 8,Phường Chánh Hưng,1,4 giờ trước,,nhatot,Quận 8,,"Dự án: 
Thông tin chi tiết: Nhà mới đẹp 3 tầng, Âu Dương Lân, P.3, Q.8 
          ✅💰Giá: 6tỷ2 ( thương lượng)
- Diện tích : 4,3 x 10 m, sổ vuông vức. 
Dt đất: 43.2 m2

+  Nhà gồm trệt , 2 Lầu BTCT . Gồm 3 Phòng Ngủ , 3 tolet 

+ Trước nhà 3,5m , hẻm thông. Khu nhà cao tầng, gần chợ Rạch Ông, cầu chữ  Y vài phút xe máy

+ Sổ Hồng riêng, hoàn công đầy đủ

+ Hướng: Tây Bắc",Thuỳ,4 giờ trước,3,https://www.nhatot.com/177692366
178651240,"Bán đất 130m2 (109 TC) tặng nhà C4, hẻm nhựa 7m Tân Thới Hiệp, 5.3 tỷ","Nhà ngõ, hẻm","5,3 tỷ",130,2,,4,TP Hồ Chí Minh,Quận 12,Phường Tân Thới Hiệp,1,5 giờ trước,Lê Minh Quân,nhatot,Quận 12,"92/1, Phường Hiệp Thành (P. Tân Thới Hiệp mới), Quận 12, Tp Hồ Chí Minh","Bán đất tặng nhà 130m² (109m thổ cư)
+ hẻm nhựa 7m xe hơi vào cửa
+ nở hậu 4,7m–10m, dài hơn 20m. Cách Lê Văn Khương ~100m, Tân Thới Hiệp, TP.HCM. 
+ Giá 5,3 tỷ.
Nhà C4 sẵn — ở tạm, cho thuê hoặc xây mới. Sổ hồng riêng đã hoàn công, hỗ trợ vay NH. Tiện ích đầy đủ trong 1km, sát trường học.
Nhắn tin nhận sơ đồ sổ + vị trí. Xem nhà trực tiếp.",Lê Minh Quân,5 giờ trước,2,https://www.nhatot.com/178651240
177186614,"Hẻm Luỹ Bán Bích - chính chủ lâu năm - 4x14,5 - hẻm oto - nhà 4 tầng","Nhà ngõ, hẻm","5,9 tỷ",56,4,4,,TP Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,,5 giờ trước,BĐS Nguyễn Văn Đức708,nhatot,Quận Tân Phú,"Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh","Dự án: 
Thông tin chi tiết: Hẻm Luỹ Bán Bích - chính chủ lâu năm - 4x14,5 - hẻm oto - nhà 4 tầng 
============================
 (Kết bạn Za.lo) *** * Em Đức Chuyên-Tân-Phú để theo dõi những căn nhà NGON nhất Tân Phú luôn được update hàng ngày nhé ạ.",Nguyễn Văn Đức,5 giờ trước,4,https://www.nhatot.com/177186614
178650314,Lô Góc 2 Mặt đg 8m nhựa Thông tứ tung 71m đất tại TX22 Thạnh Xuân Q12,Đất,"4,35 tỷ",71,,,3,TP Hồ Chí Minh,Quận 12,Phường Thới An,1,5 giờ trước,Lê Minh Quân,nhatot,Quận 12,"92/1, Phường Hiệp Thành (P. Tân Thới Hiệp mới), Quận 12, Tp Hồ Chí Minh","Dự án: 
Thông tin chi tiết: Lô Góc hiếm hoi còn sót lại. 
Vị trí cực thông thoáng, đường 8m nhựa, thông tứ tung, từ TX22 ra Tô Ngọc Vân và Hà Huy Giáp.
Thông tin: 
Diện tích: 5x14,5m 71m thổ cư. 
- Đường rộng 8m lô góc thông thoáng. 
- SHR sang tên ngay. 
- Giá chỉ 4,2ty còn TL",Lê Minh Quân,5 giờ trước,,https://www.nhatot.com/178650314
